Area_Name,Date,Date,Year,Month,Employment,Unemployment,Unemployment_Rate
Lake County,May,2020-05-01,2020,May,21530,3950,0.155
Lake County,June,2020-06-01,2020,June,22180,3670,0.142
Lake County,July,2020-07-01,2020,July,23800,3160,0.11699999999999999
Lake County,August,2020-08-01,2020,August,26100,2420,0.085
Lake County,September,2020-09-01,2020,September,26200,2480,0.086
Lake Elsinore city,March,2020-03-01,2020,March,29100,1700,0.054000000000000006
Lake Elsinore city,April,2020-04-01,2020,April,25600,4900,0.162
Lake Elsinore city,May,2020-05-01,2020,May,25500,5000,0.163
Lake Elsinore city,June,2020-06-01,2020,June,26300,4600,0.149
Lake Elsinore city,July,2020-07-01,2020,July,26600,4300,0.14
Lake Elsinore city,August,2020-08-01,2020,August,26900,3300,0.109
Lake Elsinore city,September,2020-09-01,2020,September,27100,3300,0.10800000000000001
Lake Forest city,March,2020-03-01,2020,March,46600,1600,0.032
Lake Forest city,April,2020-04-01,2020,April,40500,5200,0.113
Lake Forest city,May,2020-05-01,2020,May,40300,5300,0.11699999999999999
Lake Forest city,June,2020-06-01,2020,June,42000,5000,0.107
Lake Forest city,July,2020-07-01,2020,July,42500,4500,0.09699999999999999
Lake Forest city,August,2020-08-01,2020,August,42800,3400,0.07400000000000001
Lake Forest city,September,2020-09-01,2020,September,43600,3200,0.069
Lake Isabella CDP,March,2020-03-01,2020,March,1000,200,0.166
Lake Isabella CDP,April,2020-04-01,2020,April,900,300,0.248
Lake Isabella CDP,May,2020-05-01,2020,May,900,300,0.24100000000000002
Lake Isabella CDP,June,2020-06-01,2020,June,900,300,0.23399999999999999
Lake Isabella CDP,July,2020-07-01,2020,July,900,300,0.221
Lake Isabella CDP,August,2020-08-01,2020,August,1000,200,0.17
Lake Isabella CDP,September,2020-09-01,2020,September,1000,200,0.16899999999999998
Lake Los Angeles CDP,March,2020-03-01,2020,March,3200,400,0.12300000000000001
Lake Los Angeles CDP,April,2020-04-01,2020,April,2600,1300,0.33799999999999997
Lake Los Angeles CDP,May,2020-05-01,2020,May,2600,1300,0.34299999999999997
Lake Los Angeles CDP,June,2020-06-01,2020,June,2700,1300,0.327
Lake Los Angeles CDP,July,2020-07-01,2020,July,2800,1300,0.311
Lake Los Angeles CDP,August,2020-08-01,2020,August,2800,1100,0.287
Lake Los Angeles CDP,September,2020-09-01,2020,September,2900,1000,0.262
Lake Nacimiento CDP,March,2020-03-01,2020,March,1200,0,0.032
Lake Nacimiento CDP,April,2020-04-01,2020,April,1000,100,0.121
Lake Nacimiento CDP,May,2020-05-01,2020,May,1000,100,0.111
Lake Nacimiento CDP,June,2020-06-01,2020,June,1100,100,0.099
Lake Nacimiento CDP,July,2020-07-01,2020,July,1100,100,0.086
Lake Nacimiento CDP,August,2020-08-01,2020,August,1100,100,0.065
Lake Nacimiento CDP,September,2020-09-01,2020,September,1100,100,0.061
Lake Wildwood CDP,March,2020-03-01,2020,March,1880,20,0.012
Lake Wildwood CDP,April,2020-04-01,2020,April,1520,60,0.040999999999999995
Lake Wildwood CDP,May,2020-05-01,2020,May,1410,60,0.038
Lake Wildwood CDP,June,2020-06-01,2020,June,1490,50,0.034
Lake Wildwood CDP,July,2020-07-01,2020,July,1630,50,0.027000000000000003
Lake Wildwood CDP,August,2020-08-01,2020,August,1740,30,0.019
Lake Wildwood CDP,September,2020-09-01,2020,September,1760,30,0.018000000000000002
Lake of the Pines CDP,March,2020-03-01,2020,March,1830,140,0.07
Lake of the Pines CDP,April,2020-04-01,2020,April,1470,400,0.212
Lake of the Pines CDP,May,2020-05-01,2020,May,1370,350,0.20199999999999999
Lake of the Pines CDP,June,2020-06-01,2020,June,1450,330,0.184
Lake of the Pines CDP,July,2020-07-01,2020,July,1590,290,0.153
Lake of the Pines CDP,August,2020-08-01,2020,August,1690,210,0.11199999999999999
Lake of the Pines CDP,September,2020-09-01,2020,September,1720,210,0.107
Lake of the Woods CDP,March,2020-03-01,2020,March,200,0,0.11800000000000001
Lake of the Woods CDP,April,2020-04-01,2020,April,200,0,0.183
Lake of the Woods CDP,May,2020-05-01,2020,May,200,0,0.18
Lake of the Woods CDP,June,2020-06-01,2020,June,200,0,0.172
Lake of the Woods CDP,July,2020-07-01,2020,July,200,0,0.162
Lake of the Woods CDP,August,2020-08-01,2020,August,200,0,0.121
Lake of the Woods CDP,September,2020-09-01,2020,September,200,0,0.121
Lakeland Village CDP,March,2020-03-01,2020,March,5300,500,0.083
Lakeland Village CDP,April,2020-04-01,2020,April,4700,1400,0.226
Lakeland Village CDP,May,2020-05-01,2020,May,4700,1400,0.23
Lakeland Village CDP,June,2020-06-01,2020,June,4800,1300,0.214
Lakeland Village CDP,July,2020-07-01,2020,July,4900,1200,0.201
Lakeland Village CDP,August,2020-08-01,2020,August,4900,900,0.159
Lakeland Village CDP,September,2020-09-01,2020,September,5000,900,0.157
Lakeport city,March,2020-03-01,2020,March,2400,100,0.04
Lakeport city,April,2020-04-01,2020,April,1930,200,0.096
Lakeport city,May,2020-05-01,2020,May,1920,190,0.08800000000000001
Lakeport city,June,2020-06-01,2020,June,1980,170,0.08
Lakeport city,July,2020-07-01,2020,July,2130,150,0.065
Lakeport city,August,2020-08-01,2020,August,2330,110,0.047
Lakeport city,September,2020-09-01,2020,September,2340,120,0.047
Lakeside CDP,March,2020-03-01,2020,March,10000,600,0.055
Lakeside CDP,April,2020-04-01,2020,April,8700,2100,0.191
Lakeside CDP,May,2020-05-01,2020,May,8700,2100,0.193
Lakeside CDP,June,2020-06-01,2020,June,9100,1900,0.177
Lakeside CDP,July,2020-07-01,2020,July,9200,1700,0.16
Lakeside CDP,August,2020-08-01,2020,August,9300,1300,0.12300000000000001
Lakeside CDP,September,2020-09-01,2020,September,9400,1300,0.11699999999999999
Lakeview CDP,March,2020-03-01,2020,March,1100,100,0.057
Lakeview CDP,April,2020-04-01,2020,April,1000,200,0.166
Lakeview CDP,May,2020-05-01,2020,May,1000,200,0.17
Lakeview CDP,June,2020-06-01,2020,June,1000,200,0.157
Lakeview CDP,July,2020-07-01,2020,July,1000,200,0.147
Lakeview CDP,August,2020-08-01,2020,August,1000,100,0.114
Lakeview CDP,September,2020-09-01,2020,September,1000,100,0.113
Lakewood city,March,2020-03-01,2020,March,39400,2600,0.061
Lakewood city,April,2020-04-01,2020,April,32000,7900,0.19899999999999998
Lakewood city,May,2020-05-01,2020,May,31500,8200,0.20600000000000002
Lakewood city,June,2020-06-01,2020,June,33400,7800,0.19
Lakewood city,July,2020-07-01,2020,July,34100,7300,0.17600000000000002
Lakewood city,August,2020-08-01,2020,August,34700,6600,0.16
Lakewood city,September,2020-09-01,2020,September,35400,5900,0.142
Lamont CDP,March,2020-03-01,2020,March,6100,800,0.111
Lamont CDP,April,2020-04-01,2020,April,5400,1100,0.172
Lamont CDP,May,2020-05-01,2020,May,5400,1100,0.16699999999999998
Lamont CDP,June,2020-06-01,2020,June,5500,1100,0.161
Lamont CDP,July,2020-07-01,2020,July,5500,1000,0.151
Lamont CDP,August,2020-08-01,2020,August,5800,700,0.114
Lamont CDP,September,2020-09-01,2020,September,5800,700,0.114
Lanare CDP,March,2020-03-01,2020,March,100,0,0.0
Lanare CDP,April,2020-04-01,2020,April,100,0,0.0
Lanare CDP,May,2020-05-01,2020,May,100,0,0.0
Lanare CDP,June,2020-06-01,2020,June,100,0,0.0
Lanare CDP,July,2020-07-01,2020,July,100,0,0.0
Lanare CDP,August,2020-08-01,2020,August,100,0,0.0
Lanare CDP,September,2020-09-01,2020,September,100,0,0.0
Lancaster city,March,2020-03-01,2020,March,58300,6000,0.09300000000000001
Lancaster city,April,2020-04-01,2020,April,47300,12500,0.209
Lancaster city,May,2020-05-01,2020,May,46600,12200,0.207
Lancaster city,June,2020-06-01,2020,June,49400,12300,0.19899999999999998
Lancaster city,July,2020-07-01,2020,July,50400,12400,0.198
Lancaster city,August,2020-08-01,2020,August,51300,11700,0.185
Lancaster city,September,2020-09-01,2020,September,52400,10900,0.172
Larkspur city,March,2020-03-01,2020,March,6700,200,0.024
Larkspur city,April,2020-04-01,2020,April,5700,600,0.08900000000000001
Larkspur city,May,2020-05-01,2020,May,5700,500,0.083
Larkspur city,June,2020-06-01,2020,June,6000,500,0.08
Larkspur city,July,2020-07-01,2020,July,6100,500,0.07
Larkspur city,August,2020-08-01,2020,August,6200,300,0.053
Larkspur city,September,2020-09-01,2020,September,6300,300,0.051
Las Flores CDP,March,2020-03-01,2020,March,3000,0,0.012
Las Flores CDP,April,2020-04-01,2020,April,2600,100,0.048
Las Flores CDP,May,2020-05-01,2020,May,2500,100,0.051
Las Flores CDP,June,2020-06-01,2020,June,2700,100,0.047
Las Flores CDP,July,2020-07-01,2020,July,2700,100,0.042
Las Flores CDP,August,2020-08-01,2020,August,2700,100,0.032
Las Flores CDP,September,2020-09-01,2020,September,2800,100,0.03
Las Lomas CDP,March,2020-03-01,2020,March,1900,300,0.15
Las Lomas CDP,April,2020-04-01,2020,April,1600,500,0.247
Las Lomas CDP,May,2020-05-01,2020,May,1600,400,0.201
Las Lomas CDP,June,2020-06-01,2020,June,1700,400,0.17600000000000002
Las Lomas CDP,July,2020-07-01,2020,July,1700,300,0.14800000000000002
Las Lomas CDP,August,2020-08-01,2020,August,1700,200,0.11
Las Lomas CDP,September,2020-09-01,2020,September,1700,200,0.109
Lassen County,March,2020-03-01,2020,March,8610,710,0.076
Lassen County,April,2020-04-01,2020,April,7990,1040,0.11599999999999999
Lassen County,May,2020-05-01,2020,May,7990,890,0.1
Lassen County,June,2020-06-01,2020,June,8030,830,0.094
Lassen County,July,2020-07-01,2020,July,8110,760,0.086
Lassen County,August,2020-08-01,2020,August,8370,570,0.064
Lassen County,September,2020-09-01,2020,September,8580,570,0.063
Lathrop city,March,2020-03-01,2020,March,9100,600,0.062
Lathrop city,April,2020-04-01,2020,April,8100,1300,0.136
Lathrop city,May,2020-05-01,2020,May,8100,1200,0.126
Lathrop city,June,2020-06-01,2020,June,8300,1100,0.12
Lathrop city,July,2020-07-01,2020,July,8400,1000,0.111
Lathrop city,August,2020-08-01,2020,August,8600,800,0.085
Lathrop city,September,2020-09-01,2020,September,8700,800,0.085
Laton CDP,March,2020-03-01,2020,March,800,100,0.131
Laton CDP,April,2020-04-01,2020,April,800,200,0.198
Laton CDP,May,2020-05-01,2020,May,800,200,0.183
Laton CDP,June,2020-06-01,2020,June,800,200,0.171
Laton CDP,July,2020-07-01,2020,July,800,100,0.159
Laton CDP,August,2020-08-01,2020,August,800,100,0.12300000000000001
Laton CDP,September,2020-09-01,2020,September,800,100,0.124
Lawndale city,March,2020-03-01,2020,March,15300,1000,0.061
Lawndale city,April,2020-04-01,2020,April,12400,3900,0.239
Lawndale city,May,2020-05-01,2020,May,12200,4000,0.249
Lawndale city,June,2020-06-01,2020,June,12900,3900,0.23
Lawndale city,July,2020-07-01,2020,July,13200,3600,0.215
Lawndale city,August,2020-08-01,2020,August,13400,3300,0.19699999999999998
Lawndale city,September,2020-09-01,2020,September,13700,3000,0.18
Laytonville CDP,March,2020-03-01,2020,March,410,70,0.147
Laytonville CDP,April,2020-04-01,2020,April,360,170,0.318
Laytonville CDP,May,2020-05-01,2020,May,350,150,0.295
Laytonville CDP,June,2020-06-01,2020,June,370,140,0.276
Laytonville CDP,July,2020-07-01,2020,July,370,120,0.253
Laytonville CDP,August,2020-08-01,2020,August,380,90,0.2
Laytonville CDP,September,2020-09-01,2020,September,380,90,0.19699999999999998
Le Grand CDP,March,2020-03-01,2020,March,700,100,0.17
Le Grand CDP,April,2020-04-01,2020,April,600,200,0.237
Le Grand CDP,May,2020-05-01,2020,May,700,200,0.21
Le Grand CDP,June,2020-06-01,2020,June,700,200,0.201
Le Grand CDP,July,2020-07-01,2020,July,700,200,0.18600000000000003
Le Grand CDP,August,2020-08-01,2020,August,700,100,0.141
Le Grand CDP,September,2020-09-01,2020,September,700,100,0.138
Lebec CDP,March,2020-03-01,2020,March,800,200,0.203
Lebec CDP,April,2020-04-01,2020,April,700,300,0.297
Lebec CDP,May,2020-05-01,2020,May,700,300,0.289
Lebec CDP,June,2020-06-01,2020,June,700,300,0.281
Lebec CDP,July,2020-07-01,2020,July,700,300,0.266
Lebec CDP,August,2020-08-01,2020,August,700,200,0.207
Lebec CDP,September,2020-09-01,2020,September,700,200,0.207
Lemon Cove CDP,March,2020-03-01,2020,March,100,0,0.053
Lemon Cove CDP,April,2020-04-01,2020,April,100,0,0.071
Lemon Cove CDP,May,2020-05-01,2020,May,100,0,0.071
Lemon Cove CDP,June,2020-06-01,2020,June,100,0,0.057999999999999996
Lemon Cove CDP,July,2020-07-01,2020,July,100,0,0.057999999999999996
Lemon Cove CDP,August,2020-08-01,2020,August,100,0,0.045
Lemon Cove CDP,September,2020-09-01,2020,September,100,0,0.045
Lemon Grove city,March,2020-03-01,2020,March,11800,600,0.051
Lemon Grove city,April,2020-04-01,2020,April,10300,2300,0.183
Lemon Grove city,May,2020-05-01,2020,May,10300,2300,0.185
Lemon Grove city,June,2020-06-01,2020,June,10600,2200,0.17
Lemon Grove city,July,2020-07-01,2020,July,10800,2000,0.156
Lemon Grove city,August,2020-08-01,2020,August,11000,1500,0.122
Lemon Grove city,September,2020-09-01,2020,September,11100,1500,0.11699999999999999
Lemoore Station CDP,March,2020-03-01,2020,March,1400,100,0.095
Lemoore Station CDP,April,2020-04-01,2020,April,1200,200,0.132
Lemoore Station CDP,May,2020-05-01,2020,May,1300,200,0.121
Lemoore Station CDP,June,2020-06-01,2020,June,1300,200,0.111
Lemoore Station CDP,July,2020-07-01,2020,July,1300,100,0.099
Lemoore Station CDP,August,2020-08-01,2020,August,1300,100,0.077
Lemoore Station CDP,September,2020-09-01,2020,September,1300,100,0.079
Lemoore city,March,2020-03-01,2020,March,11200,1100,0.087
Lemoore city,April,2020-04-01,2020,April,10200,1800,0.146
Lemoore city,May,2020-05-01,2020,May,10400,1800,0.147
Lemoore city,June,2020-06-01,2020,June,10500,1500,0.126
Lemoore city,July,2020-07-01,2020,July,10600,1400,0.115
Lemoore city,August,2020-08-01,2020,August,10700,1100,0.091
Lemoore city,September,2020-09-01,2020,September,10700,1100,0.094
Lennox CDP,March,2020-03-01,2020,March,9900,700,0.068
Lennox CDP,April,2020-04-01,2020,April,8100,2200,0.21100000000000002
Lennox CDP,May,2020-05-01,2020,May,8000,2200,0.215
Lennox CDP,June,2020-06-01,2020,June,8400,2100,0.203
Lennox CDP,July,2020-07-01,2020,July,8600,2000,0.192
Lennox CDP,August,2020-08-01,2020,August,8700,1800,0.174
Lennox CDP,September,2020-09-01,2020,September,8900,1700,0.157
Lenwood CDP,March,2020-03-01,2020,March,1700,0,0.013999999999999999
Lenwood CDP,April,2020-04-01,2020,April,1500,100,0.038
Lenwood CDP,May,2020-05-01,2020,May,1500,100,0.04
Lenwood CDP,June,2020-06-01,2020,June,1500,100,0.039
Lenwood CDP,July,2020-07-01,2020,July,1500,100,0.037000000000000005
Lenwood CDP,August,2020-08-01,2020,August,1600,0,0.028999999999999998
Lenwood CDP,September,2020-09-01,2020,September,1600,0,0.028999999999999998
Lewiston CDP,March,2020-03-01,2020,March,400,40,0.09
Lewiston CDP,April,2020-04-01,2020,April,370,50,0.124
Lewiston CDP,May,2020-05-01,2020,May,380,40,0.105
Lewiston CDP,June,2020-06-01,2020,June,410,40,0.094
Lewiston CDP,July,2020-07-01,2020,July,400,40,0.084
Lewiston CDP,August,2020-08-01,2020,August,420,30,0.063
Lewiston CDP,September,2020-09-01,2020,September,400,30,0.065
Lincoln Village CDP,March,2020-03-01,2020,March,2000,200,0.075
Lincoln Village CDP,April,2020-04-01,2020,April,1800,300,0.161
Lincoln Village CDP,May,2020-05-01,2020,May,1800,300,0.151
Lincoln Village CDP,June,2020-06-01,2020,June,1800,300,0.14300000000000002
Lincoln Village CDP,July,2020-07-01,2020,July,1800,300,0.133
Lincoln Village CDP,August,2020-08-01,2020,August,1900,200,0.102
Lincoln Village CDP,September,2020-09-01,2020,September,1900,200,0.102
Lincoln city,March,2020-03-01,2020,March,18300,900,0.044000000000000004
Lincoln city,April,2020-04-01,2020,April,16000,2400,0.131
Lincoln city,May,2020-05-01,2020,May,16100,2400,0.13
Lincoln city,June,2020-06-01,2020,June,16600,2100,0.114
Lincoln city,July,2020-07-01,2020,July,16800,1900,0.1
Lincoln city,August,2020-08-01,2020,August,17100,1400,0.076
Lincoln city,September,2020-09-01,2020,September,17200,1400,0.07400000000000001
Linda CDP,March,2020-03-01,2020,March,6700,900,0.11900000000000001
Linda CDP,April,2020-04-01,2020,April,5800,1600,0.215
Linda CDP,May,2020-05-01,2020,May,5700,1500,0.20600000000000002
Linda CDP,June,2020-06-01,2020,June,5800,1400,0.192
Linda CDP,July,2020-07-01,2020,July,5700,1300,0.182
Linda CDP,August,2020-08-01,2020,August,5900,1000,0.141
Linda CDP,September,2020-09-01,2020,September,5900,1000,0.145
Linden CDP,March,2020-03-01,2020,March,900,0,0.032
Linden CDP,April,2020-04-01,2020,April,800,100,0.073
Linden CDP,May,2020-05-01,2020,May,800,100,0.067
Linden CDP,June,2020-06-01,2020,June,900,100,0.064
Linden CDP,July,2020-07-01,2020,July,900,100,0.057999999999999996
Linden CDP,August,2020-08-01,2020,August,900,0,0.044000000000000004
Linden CDP,September,2020-09-01,2020,September,900,0,0.044000000000000004
Lindsay city,March,2020-03-01,2020,March,4500,1100,0.201
Lindsay city,April,2020-04-01,2020,April,4000,1400,0.259
Lindsay city,May,2020-05-01,2020,May,4100,1300,0.245
Lindsay city,June,2020-06-01,2020,June,4200,1300,0.231
Lindsay city,July,2020-07-01,2020,July,4100,1200,0.21899999999999997
Lindsay city,August,2020-08-01,2020,August,4300,900,0.17
Lindsay city,September,2020-09-01,2020,September,4300,900,0.16899999999999998
Little Grass Valley CDP,March,2020-03-01,2020,March,0,0,0.0
Little Grass Valley CDP,April,2020-04-01,2020,April,0,0,0.0
Little Grass Valley CDP,May,2020-05-01,2020,May,0,0,0.0
Little Grass Valley CDP,June,2020-06-01,2020,June,0,0,0.0
Little Grass Valley CDP,July,2020-07-01,2020,July,0,0,0.0
Little Grass Valley CDP,August,2020-08-01,2020,August,0,0,0.0
Little Grass Valley CDP,September,2020-09-01,2020,September,0,0,0.0
Littlerock CDP,March,2020-03-01,2020,March,500,100,0.13699999999999998
Littlerock CDP,April,2020-04-01,2020,April,400,300,0.366
Littlerock CDP,May,2020-05-01,2020,May,400,300,0.37200000000000005
Littlerock CDP,June,2020-06-01,2020,June,500,300,0.355
Littlerock CDP,July,2020-07-01,2020,July,500,200,0.33899999999999997
Littlerock CDP,August,2020-08-01,2020,August,500,200,0.313
Littlerock CDP,September,2020-09-01,2020,September,500,200,0.28600000000000003
Live Oak CDP,March,2020-03-01,2020,March,8400,500,0.055
Live Oak CDP,April,2020-04-01,2020,April,7200,1000,0.11900000000000001
Live Oak CDP,May,2020-05-01,2020,May,7200,800,0.10099999999999999
Live Oak CDP,June,2020-06-01,2020,June,7400,700,0.09
Live Oak CDP,July,2020-07-01,2020,July,7500,600,0.077
Live Oak CDP,August,2020-08-01,2020,August,7600,500,0.057999999999999996
Live Oak CDP,September,2020-09-01,2020,September,7600,400,0.055
Live Oak city,March,2020-03-01,2020,March,3700,400,0.099
Live Oak city,April,2020-04-01,2020,April,3300,600,0.161
Live Oak city,May,2020-05-01,2020,May,3200,500,0.142
Live Oak city,June,2020-06-01,2020,June,3300,500,0.132
Live Oak city,July,2020-07-01,2020,July,3300,400,0.11900000000000001
Live Oak city,August,2020-08-01,2020,August,3300,300,0.08900000000000001
Live Oak city,September,2020-09-01,2020,September,3300,300,0.09
Livermore city,March,2020-03-01,2020,March,46300,1500,0.032
Livermore city,April,2020-04-01,2020,April,39900,6100,0.132
Livermore city,May,2020-05-01,2020,May,40000,5400,0.11900000000000001
Livermore city,June,2020-06-01,2020,June,41100,5200,0.11199999999999999
Livermore city,July,2020-07-01,2020,July,41500,4500,0.098
Livermore city,August,2020-08-01,2020,August,41900,3400,0.075
Livermore city,September,2020-09-01,2020,September,42200,3300,0.07200000000000001
Livingston city,March,2020-03-01,2020,March,6100,400,0.068
Livingston city,April,2020-04-01,2020,April,5700,600,0.099
Livingston city,May,2020-05-01,2020,May,5700,500,0.086
Livingston city,June,2020-06-01,2020,June,5800,500,0.081
Livingston city,July,2020-07-01,2020,July,5800,500,0.075
Livingston city,August,2020-08-01,2020,August,6000,300,0.055
Livingston city,September,2020-09-01,2020,September,6200,300,0.054000000000000006
Lockeford CDP,March,2020-03-01,2020,March,1400,100,0.092
Lockeford CDP,April,2020-04-01,2020,April,1200,300,0.193
Lockeford CDP,May,2020-05-01,2020,May,1300,300,0.18
Lockeford CDP,June,2020-06-01,2020,June,1300,300,0.171
Lockeford CDP,July,2020-07-01,2020,July,1300,200,0.16
Lockeford CDP,August,2020-08-01,2020,August,1300,200,0.124
Lockeford CDP,September,2020-09-01,2020,September,1300,200,0.124
Lodi city,March,2020-03-01,2020,March,27600,2600,0.087
Lodi city,April,2020-04-01,2020,April,24600,4800,0.163
Lodi city,May,2020-05-01,2020,May,24600,4200,0.145
Lodi city,June,2020-06-01,2020,June,25300,3900,0.133
Lodi city,July,2020-07-01,2020,July,25400,3700,0.127
Lodi city,August,2020-08-01,2020,August,26000,2700,0.09300000000000001
Lodi city,September,2020-09-01,2020,September,26300,2700,0.092
Loma Linda city,March,2020-03-01,2020,March,10600,400,0.032
Loma Linda city,April,2020-04-01,2020,April,9400,900,0.091
Loma Linda city,May,2020-05-01,2020,May,9300,1000,0.094
Loma Linda city,June,2020-06-01,2020,June,9600,1000,0.092
Loma Linda city,July,2020-07-01,2020,July,9700,900,0.087
Loma Linda city,August,2020-08-01,2020,August,9900,700,0.068
Loma Linda city,September,2020-09-01,2020,September,9900,700,0.068
Loma Rica CDP,March,2020-03-01,2020,March,1200,0,0.03
Loma Rica CDP,April,2020-04-01,2020,April,1000,100,0.057999999999999996
Loma Rica CDP,May,2020-05-01,2020,May,1000,100,0.055
Loma Rica CDP,June,2020-06-01,2020,June,1000,100,0.051
Loma Rica CDP,July,2020-07-01,2020,July,1000,100,0.047
Loma Rica CDP,August,2020-08-01,2020,August,1000,0,0.036000000000000004
Loma Rica CDP,September,2020-09-01,2020,September,1000,0,0.036000000000000004
Lomita city,March,2020-03-01,2020,March,10300,600,0.059000000000000004
Lomita city,April,2020-04-01,2020,April,8400,1900,0.18600000000000003
Lomita city,May,2020-05-01,2020,May,8200,1900,0.18899999999999997
Lomita city,June,2020-06-01,2020,June,8700,1900,0.17800000000000002
Lomita city,July,2020-07-01,2020,July,8900,1800,0.168
Lomita city,August,2020-08-01,2020,August,9100,1600,0.152
Lomita city,September,2020-09-01,2020,September,9300,1500,0.13699999999999998
Lompoc city,March,2020-03-01,2020,March,15800,1300,0.078
Lompoc city,April,2020-04-01,2020,April,14300,3400,0.191
Lompoc city,May,2020-05-01,2020,May,14300,3200,0.183
Lompoc city,June,2020-06-01,2020,June,14800,2600,0.15
Lompoc city,July,2020-07-01,2020,July,14800,2200,0.13
Lompoc city,August,2020-08-01,2020,August,15200,1600,0.09699999999999999
Lompoc city,September,2020-09-01,2020,September,15400,1600,0.096
London CDP,March,2020-03-01,2020,March,600,200,0.21100000000000002
London CDP,April,2020-04-01,2020,April,500,200,0.272
London CDP,May,2020-05-01,2020,May,500,200,0.257
London CDP,June,2020-06-01,2020,June,500,200,0.243
London CDP,July,2020-07-01,2020,July,500,200,0.231
London CDP,August,2020-08-01,2020,August,500,100,0.18
London CDP,September,2020-09-01,2020,September,600,100,0.17800000000000002
Lone Pine CDP,March,2020-03-01,2020,March,800,50,0.053
Lone Pine CDP,April,2020-04-01,2020,April,690,120,0.14800000000000002
Lone Pine CDP,May,2020-05-01,2020,May,680,110,0.135
Lone Pine CDP,June,2020-06-01,2020,June,720,100,0.11800000000000001
Lone Pine CDP,July,2020-07-01,2020,July,730,80,0.10300000000000001
Lone Pine CDP,August,2020-08-01,2020,August,740,60,0.077
Lone Pine CDP,September,2020-09-01,2020,September,730,60,0.078
Long Beach city,March,2020-03-01,2020,March,218300,15400,0.066
Long Beach city,April,2020-04-01,2020,April,177100,45900,0.20600000000000002
Long Beach city,May,2020-05-01,2020,May,174700,46500,0.21
Long Beach city,June,2020-06-01,2020,June,185100,45100,0.196
Long Beach city,July,2020-07-01,2020,July,188900,43400,0.187
Long Beach city,August,2020-08-01,2020,August,192100,40000,0.172
Long Beach city,September,2020-09-01,2020,September,196200,36600,0.157
Loomis town,March,2020-03-01,2020,March,3100,200,0.049
Loomis town,April,2020-04-01,2020,April,2700,500,0.153
Loomis town,May,2020-05-01,2020,May,2700,500,0.147
Loomis town,June,2020-06-01,2020,June,2800,400,0.131
Loomis town,July,2020-07-01,2020,July,2800,400,0.115
Loomis town,August,2020-08-01,2020,August,2900,300,0.08800000000000001
Loomis town,September,2020-09-01,2020,September,2900,300,0.084
Los Alamitos city,March,2020-03-01,2020,March,5500,200,0.039
Los Alamitos city,April,2020-04-01,2020,April,4800,800,0.14400000000000002
Los Alamitos city,May,2020-05-01,2020,May,4800,900,0.153
Los Alamitos city,June,2020-06-01,2020,June,5000,800,0.142
Los Alamitos city,July,2020-07-01,2020,July,5000,700,0.129
Los Alamitos city,August,2020-08-01,2020,August,5100,600,0.099
Los Alamitos city,September,2020-09-01,2020,September,5200,500,0.094
Los Alamos CDP,March,2020-03-01,2020,March,800,100,0.059000000000000004
Los Alamos CDP,April,2020-04-01,2020,April,700,100,0.142
Los Alamos CDP,May,2020-05-01,2020,May,700,100,0.132
Los Alamos CDP,June,2020-06-01,2020,June,800,100,0.11800000000000001
Los Alamos CDP,July,2020-07-01,2020,July,800,100,0.106
Los Alamos CDP,August,2020-08-01,2020,August,800,100,0.078
Los Alamos CDP,September,2020-09-01,2020,September,800,100,0.075
Los Altos city,March,2020-03-01,2020,March,14200,500,0.032
Los Altos city,April,2020-04-01,2020,April,12700,800,0.057
Los Altos city,May,2020-05-01,2020,May,12700,800,0.059000000000000004
Los Altos city,June,2020-06-01,2020,June,13100,800,0.059000000000000004
Los Altos city,July,2020-07-01,2020,July,13200,700,0.053
Los Altos city,August,2020-08-01,2020,August,13400,600,0.04
Los Altos city,September,2020-09-01,2020,September,13400,500,0.039
Los Angeles County,March,2020-03-01,2020,March,4669100,336200,0.067
Los Angeles County,April,2020-04-01,2020,April,3787600,989100,0.20800000000000002
Los Angeles County,May,2020-05-01,2020,May,3738600,998700,0.21100000000000002
Los Angeles County,June,2020-06-01,2020,June,3989500,965500,0.196
Los Angeles County,July,2020-07-01,2020,July,4049300,916700,0.185
Los Angeles County,August,2020-08-01,2020,August,4128300,828200,0.168
Los Angeles County,September,2020-09-01,2020,September,4196300,746100,0.151
Los Angeles city,March,2020-03-01,2020,March,1896900,133800,0.066
Los Angeles city,April,2020-04-01,2020,April,1538800,402800,0.207
Los Angeles city,May,2020-05-01,2020,May,1517700,404500,0.21
Los Angeles city,June,2020-06-01,2020,June,1608400,401500,0.2
Los Angeles city,July,2020-07-01,2020,July,1641400,380800,0.188
Los Angeles city,August,2020-08-01,2020,August,1668800,343200,0.171
Los Angeles city,September,2020-09-01,2020,September,1704900,306600,0.152
"Los Angeles-Long Beach-Anaheim, CA MSA",March,2020-03-01,2020,March,6167455,379938,0.057999999999999996
"Los Angeles-Long Beach-Anaheim, CA MSA",April,2020-04-01,2020,April,5091370,1197357,0.19
"Los Angeles-Long Beach-Anaheim, CA MSA",May,2020-05-01,2020,May,5043859,1204361,0.193
"Los Angeles-Long Beach-Anaheim, CA MSA",June,2020-06-01,2020,June,5346233,1150792,0.177
"Los Angeles-Long Beach-Anaheim, CA MSA",July,2020-07-01,2020,July,5431651,1051465,0.162
