County,todays_date,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,hospitalized_covid_patients,all_hospital_beds,icu_covid_confirmed_patients,icu_suspected_covid_patients,icu_available_beds
Butte,7/26/20,22,1,23,451,8,0,10
Stanislaus,7/26/20,209,39,248,1299,48,0,35
Mariposa,7/26/20,0,0,0,19,0,0,0
Colusa,7/26/20,2,0,2,48,0,0,0
Siskiyou,7/26/20,0,3,3,56,0,1,4
Placer,7/26/20,57,29,86,749,14,4,29
Contra Costa,7/26/20,103,27,130,1392,40,2,48
Santa Cruz,7/26/20,14,19,33,255,4,3,12
Lassen,7/26/20,0,0,0,25,0,0,0
Lake,7/26/20,0,0,0,65,0,0,4
Alameda,7/26/20,188,69,257,2174,62,12,96
Inyo,7/26/20,1,0,1,29,0,0,4
Glenn,7/26/20,0,2,2,47,0,0,0
San Luis Obispo,7/26/20,13,4,17,471,4,0,22
San Bernardino,7/26/20,609,104,713,4522,195,8,136
San Mateo,7/26/20,70,9,79,795,16,0,42
Tuolumne,7/26/20,2,0,2,84,1,0,0
Orange,7/26/20,661,46,707,6078,204,9,377
Trinity,7/26/20,0,0,0,25,0,0,0
Madera,7/26/20,52,12,64,360,8,1,19
Yolo,7/26/20,13,0,13,96,5,0,1
Nevada,7/26/20,1,2,3,112,1,0,5
Marin,7/26/20,21,2,23,307,8,0,11
San Francisco,7/26/20,99,18,117,2000,30,6,89
Humboldt,7/26/20,0,3,3,314,0,0,4
Calaveras,7/26/20,0,1,1,33,0,1,5
Plumas,7/26/20,0,0,0,51,0,0,0
Fresno,7/26/20,302,62,364,1491,52,5,22
Kings,7/26/20,85,1,86,199,10,1,0
Napa,7/26/20,13,2,15,359,4,0,13
Sacramento,7/26/20,246,47,293,2331,78,12,103
Amador,7/26/20,2,0,2,51,0,0,2
Tehama,7/26/20,0,0,0,59,0,0,4
Riverside,7/26/20,488,142,630,3413,146,21,87
Merced,7/26/20,61,3,64,253,13,0,3
Mono,7/26/20,1,0,1,17,0,0,1
Santa Barbara,7/26/20,80,5,85,666,25,1,62
Monterey,7/26/20,39,3,42,763,9,1,27
Ventura,7/26/20,85,29,114,1293,25,5,53
Imperial,7/26/20,75,2,77,261,26,0,2
Sonoma,7/26/20,46,15,61,766,11,2,9
Los Angeles,7/26/20,2051,570,2621,19906,596,81,912
Kern,7/26/20,260,21,281,1369,64,3,39
Mendocino,7/26/20,7,1,8,150,2,0,2
San Diego,7/26/20,369,89,458,6316,115,11,297
Tulare,7/26/20,102,0,102,564,21,0,17
Solano,7/26/20,48,16,64,567,18,1,8
San Benito,7/26/20,6,0,6,25,1,0,1
Contra Costa,7/27/20,105,31,136,1386,38,7,48
San Benito,7/27/20,6,0,6,25,1,0,0
Mono,7/27/20,2,0,2,17,1,0,1
San Mateo,7/27/20,71,15,86,729,17,1,24
Lake,7/27/20,1,1,2,65,0,0,4
Napa,7/27/20,11,2,13,359,4,0,13
Tuolumne,7/27/20,1,0,1,84,0,0,2
San Bernardino,7/27/20,595,93,688,4516,179,14,210
Calaveras,7/27/20,1,1,2,33,1,1,6
Solano,7/27/20,46,19,65,566,16,2,8
San Joaquin,7/27/20,233,27,260,1046,75,5,23
Sonoma,7/27/20,42,17,59,691,10,2,3
Madera,7/27/20,55,5,60,360,10,0,15
Shasta,7/27/20,8,0,8,561,1,0,4
Orange,7/27/20,640,45,685,6182,203,9,383
Del Norte,7/27/20,0,0,0,52,0,0,2
Nevada,7/27/20,1,0,1,108,1,0,5
Santa Clara,7/27/20,175,48,223,3087,61,5,126
Marin,7/27/20,22,3,25,309,7,0,11
Monterey,7/27/20,39,0,39,763,7,0,30
Kern,7/27/20,255,20,275,1389,69,1,51
Yolo,7/27/20,13,0,13,96,6,0,10
Colusa,7/27/20,0,0,0,48,0,0,0
Sacramento,7/27/20,253,50,303,2467,81,8,101
Riverside,7/27/20,487,122,609,3463,143,24,93
Alameda,7/27/20,198,51,249,2142,65,10,98
Merced,7/27/20,64,0,64,253,13,0,4
Humboldt,7/27/20,0,3,3,314,0,1,6
Plumas,7/27/20,0,1,1,51,0,0,0
Siskiyou,7/27/20,1,2,3,56,1,1,4
Fresno,7/27/20,297,48,345,1470,51,7,26
Glenn,7/27/20,0,2,2,47,0,0,0
Yuba,7/27/20,24,3,27,457,6,0,11
Tehama,7/27/20,0,0,0,59,0,0,5
Santa Cruz,7/27/20,14,19,33,255,4,1,17
El Dorado,7/27/20,3,0,3,153,2,0,12
San Luis Obispo,7/27/20,13,2,15,471,4,1,20
Santa Barbara,7/27/20,79,8,87,666,24,1,59
Mendocino,7/27/20,6,2,8,150,1,0,0
Stanislaus,7/27/20,204,46,250,1171,50,4,26
San Francisco,7/27/20,101,17,118,1989,34,1,95
Imperial,7/27/20,81,1,82,261,27,0,2
Sutter,7/27/20,0,0,0,0,0,0,0
San Diego,7/27/20,343,89,432,5889,108,8,287
Lassen,7/27/20,0,0,0,25,0,0,0
Kings,7/27/20,85,1,86,199,10,1,0
Amador,7/27/20,3,0,3,51,1,0,1
Los Angeles,7/27/20,2045,554,2599,18716,576,93,901
Tulare,7/27/20,104,3,107,227,20,0,4
Placer,7/27/20,57,40,97,744,15,6,27
Ventura,7/27/20,86,29,115,1297,24,8,53
Mariposa,7/27/20,0,0,0,19,0,0,0
Modoc,7/27/20,0,0,0,41,0,0,0
Trinity,7/27/20,0,0,0,25,0,0,0
Butte,7/27/20,25,1,26,451,8,1,11
Inyo,7/27/20,1,0,1,29,0,0,4
Los Angeles,7/28/20,2022,575,2597,20025,550,71,918
San Joaquin,7/28/20,231,40,271,1018,74,7,21
Orange,7/28/20,626,81,707,6238,204,11,354
Contra Costa,7/28/20,108,39,147,1403,35,4,44
Monterey,7/28/20,43,1,44,763,15,1,30
Butte,7/28/20,26,2,28,451,11,1,6
Santa Clara,7/28/20,181,43,224,3142,56,6,118
San Luis Obispo,7/28/20,13,4,17,477,4,0,17
Sacramento,7/28/20,265,49,314,2440,81,7,84
Shasta,7/28/20,10,0,10,561,1,0,6
Plumas,7/28/20,0,1,1,51,0,0,0
Solano,7/28/20,48,12,60,572,17,1,6
Merced,7/28/20,52,1,53,240,12,0,4
Nevada,7/28/20,1,1,2,122,0,0,4
Trinity,7/28/20,0,0,0,25,0,0,0
Stanislaus,7/28/20,192,38,230,1175,50,5,25
Tuolumne,7/28/20,1,0,1,84,0,0,2
Tulare,7/28/20,105,7,112,227,20,0,4
Del Norte,7/28/20,0,0,0,51,0,0,1
Amador,7/28/20,3,1,4,51,1,0,0
Yolo,7/28/20,12,0,12,98,6,0,4
San Benito,7/28/20,7,0,7,25,2,0,0
Colusa,7/28/20,0,0,0,48,0,0,0
Imperial,7/28/20,77,0,77,261,24,0,1
Marin,7/28/20,23,0,23,310,7,0,10
Kings,7/28/20,75,0,75,199,9,0,1
Humboldt,7/28/20,0,5,5,314,0,1,5
San Diego,7/28/20,392,110,502,6710,129,20,274
Fresno,7/28/20,284,49,333,1478,65,4,13
Sonoma,7/28/20,60,11,71,588,20,2,7
Napa,7/28/20,11,2,13,359,4,0,13
San Francisco,7/28/20,107,16,123,1921,37,2,27
Siskiyou,7/28/20,1,0,1,56,1,0,4
San Bernardino,7/28/20,608,102,710,4688,180,12,190
Lake,7/28/20,0,1,1,65,0,0,3
Placer,7/28/20,59,32,91,735,14,2,26
Santa Barbara,7/28/20,89,7,96,666,29,2,53
Mendocino,7/28/20,5,1,6,150,1,0,0
San Mateo,7/28/20,64,10,74,668,16,0,19
Madera,7/28/20,49,4,53,360,8,0,17
Sutter,7/28/20,0,0,0,0,0,0,0
Lassen,7/28/20,0,0,0,25,0,0,0
Riverside,7/28/20,490,142,632,3523,153,22,161
Santa Cruz,7/28/20,10,9,19,255,5,1,14
Mono,7/28/20,1,0,1,17,1,0,1
Calaveras,7/28/20,1,0,1,33,1,0,7
Modoc,7/28/20,0,0,0,41,0,0,0
Inyo,7/28/20,1,0,1,29,0,0,4
El Dorado,7/28/20,1,0,1,153,1,0,7
Glenn,7/28/20,0,2,2,47,0,0,0
Ventura,7/28/20,87,45,132,1307,22,11,40
Tehama,7/28/20,0,0,0,59,0,0,6
Alameda,7/28/20,213,43,256,2343,64,3,114
Yuba,7/28/20,20,0,20,457,6,0,12
Kern,7/28/20,265,14,279,1472,76,1,34
Mariposa,7/28/20,0,0,0,19,0,0,0
Shasta,7/29/20,10,0,10,561,2,0,5
Plumas,7/29/20,0,0,0,51,0,0,0
Imperial,7/29/20,67,0,67,261,23,0,1
San Diego,7/29/20,366,82,448,6144,122,17,248
Humboldt,7/29/20,0,3,3,324,0,0,4
Sutter,7/29/20,0,0,0,0,0,0,0
Solano,7/29/20,44,17,61,564,16,3,6
Los Angeles,7/29/20,2002,566,2568,20193,578,57,877
Mendocino,7/29/20,5,1,6,150,1,0,2
Riverside,7/29/20,475,104,579,3455,167,21,92
Lake,7/29/20,0,0,0,66,0,0,3
Orange,7/29/20,592,85,677,6225,189,12,360
Calaveras,7/29/20,1,0,1,33,1,0,6
San Mateo,7/29/20,64,15,79,697,16,2,14
Modoc,7/29/20,0,0,0,41,0,0,0
San Luis Obispo,7/29/20,18,3,21,477,4,0,16
Tulare,7/29/20,97,10,107,673,19,0,9
Contra Costa,7/29/20,110,35,145,1427,37,4,47
Tuolumne,7/29/20,1,0,1,84,0,0,2
Santa Cruz,7/29/20,14,8,22,256,5,1,16
Nevada,7/29/20,1,1,2,104,1,0,4
Amador,7/29/20,5,0,5,51,2,0,1
Mariposa,7/29/20,0,0,0,19,0,0,0
Inyo,7/29/20,1,0,1,29,0,0,4
Monterey,7/29/20,53,1,54,763,17,0,15
Kings,7/29/20,71,0,71,199,10,0,2
Colusa,7/29/20,0,1,1,48,0,0,0
San Francisco,7/29/20,109,14,123,1991,39,2,44
Lassen,7/29/20,0,0,0,25,0,0,0
Sonoma,7/29/20,56,15,71,746,22,3,13
Fresno,7/29/20,292,36,328,1479,67,3,13
Napa,7/29/20,10,0,10,359,5,0,13
Merced,7/29/20,49,1,50,253,8,0,4
Del Norte,7/29/20,0,0,0,51,0,0,0
El Dorado,7/29/20,3,0,3,287,2,0,16
Mono,7/29/20,1,0,1,17,1,0,1
Madera,7/29/20,54,6,60,360,11,1,15
Butte,7/29/20,27,0,27,451,8,0,5
Siskiyou,7/29/20,1,0,1,56,1,0,5
Santa Barbara,7/29/20,85,7,92,666,28,2,55
Yolo,7/29/20,11,0,11,96,5,0,7
Santa Clara,7/29/20,187,54,241,3403,58,6,103
San Benito,7/29/20,3,1,4,25,1,1,2
San Bernardino,7/29/20,562,88,650,4566,176,16,165
Trinity,7/29/20,0,0,0,25,0,0,0
Kern,7/29/20,215,15,230,1391,63,0,46
San Joaquin,7/29/20,233,41,274,1019,78,10,17
Yuba,7/29/20,19,0,19,457,8,0,7
Ventura,7/29/20,78,35,113,1297,25,5,43
Alameda,7/29/20,204,58,262,2401,59,10,94
Sacramento,7/29/20,277,62,339,2529,83,8,79
Tehama,7/29/20,0,0,0,59,0,0,4
Glenn,7/29/20,0,2,2,47,0,0,0
Placer,7/29/20,59,28,87,733,13,3,28
Marin,7/29/20,23,0,23,315,9,0,7
Stanislaus,7/29/20,198,50,248,1223,49,4,28
Inyo,7/30/20,0,0,0,29,0,0,3
San Benito,7/30/20,3,0,3,25,1,0,1
El Dorado,7/30/20,1,0,1,235,1,0,16
San Mateo,7/30/20,58,10,68,702,22,2,15
Plumas,7/30/20,0,0,0,51,0,0,0
Sonoma,7/30/20,50,10,60,631,18,1,7
San Francisco,7/30/20,101,18,119,2025,38,1,53
Mendocino,7/30/20,5,0,5,150,0,0,4
Orange,7/30/20,593,62,655,6210,191,9,300
Yuba,7/30/20,17,0,17,457,7,0,6
Fresno,7/30/20,313,40,353,1481,58,2,15
Monterey,7/30/20,53,3,56,757,16,1,20
Trinity,7/30/20,0,1,1,25,0,0,0
San Bernardino,7/30/20,596,81,677,4530,187,10,111
Humboldt,7/30/20,0,1,1,260,0,0,4
Riverside,7/30/20,452,93,545,3391,153,14,99
Imperial,7/30/20,51,5,56,261,21,1,1
Mono,7/30/20,1,0,1,17,1,0,1
Nevada,7/30/20,1,1,2,125,1,0,5
Sutter,7/30/20,0,0,0,0,0,0,0
Napa,7/30/20,12,0,12,359,5,0,15
Alameda,7/30/20,198,47,245,2454,60,6,92
San Luis Obispo,7/30/20,16,2,18,477,4,0,17
Mariposa,7/30/20,0,0,0,19,0,0,0
San Diego,7/30/20,348,72,420,6268,120,13,258
Kern,7/30/20,230,17,247,1391,76,2,40
Marin,7/30/20,23,2,25,311,9,0,11
Amador,7/30/20,4,1,5,52,2,0,0
Santa Barbara,7/30/20,87,3,90,666,26,0,60
Tuolumne,7/30/20,2,1,3,84,1,0,1
Solano,7/30/20,38,16,54,564,14,2,6
Tehama,7/30/20,0,0,0,59,0,0,5
Madera,7/30/20,56,5,61,360,11,1,20
Shasta,7/30/20,10,0,10,561,3,0,5
Los Angeles,7/30/20,1904,553,2457,20167,569,58,872
Santa Clara,7/30/20,180,44,224,3108,51,6,118
Contra Costa,7/30/20,106,38,144,1434,36,6,47
Colusa,7/30/20,0,3,3,48,0,0,0
Yolo,7/30/20,11,0,11,96,7,0,8
Lake,7/30/20,0,0,0,66,0,0,2
Siskiyou,7/30/20,1,3,4,56,1,0,3
Tulare,7/30/20,95,4,99,669,16,0,7
Butte,7/30/20,30,1,31,451,9,1,2
San Joaquin,7/30/20,215,52,267,1014,71,5,20
Stanislaus,7/30/20,211,37,248,1226,49,3,30
Modoc,7/30/20,0,0,0,41,0,0,0
Glenn,7/30/20,0,2,2,47,0,0,0
Santa Cruz,7/30/20,15,12,27,255,4,0,14
Merced,7/30/20,49,3,52,253,10,1,9
Ventura,7/30/20,80,39,119,1300,22,8,47
Del Norte,7/30/20,0,0,0,51,0,0,0
Calaveras,7/30/20,0,0,0,33,0,0,8
Lassen,7/30/20,0,0,0,25,0,0,0
Sacramento,7/30/20,281,48,329,2452,91,7,79
Kings,7/30/20,74,0,74,199,9,0,3
Placer,7/30/20,59,37,96,730,12,0,27
Santa Cruz,7/31/20,12,9,21,255,3,0,13
Siskiyou,7/31/20,1,3,4,56,1,0,4
Mariposa,7/31/20,0,0,0,19,0,0,0
Colusa,7/31/20,1,1,2,48,0,0,0
Los Angeles,7/31/20,1856,516,2372,20401,575,53,864
Placer,7/31/20,60,29,89,731,14,3,31
Trinity,7/31/20,0,2,2,25,0,0,0
Shasta,7/31/20,8,0,8,448,3,0,6
San Francisco,7/31/20,102,19,121,2002,36,1,51
Kern,7/31/20,239,17,256,1391,75,3,28
Solano,7/31/20,41,18,59,567,15,2,6
Monterey,7/31/20,45,2,47,757,15,0,16
San Luis Obispo,7/31/20,12,5,17,463,4,1,18
Santa Clara,7/31/20,196,35,231,3104,56,6,92
Alameda,7/31/20,202,49,251,2486,58,5,102
Santa Barbara,7/31/20,86,3,89,666,23,0,47
Ventura,7/31/20,85,40,125,1314,25,9,45
Fresno,7/31/20,309,34,343,1486,59,1,14
Merced,7/31/20,51,0,51,253,10,0,9
Stanislaus,7/31/20,221,42,263,1226,52,2,34
Marin,7/31/20,27,3,30,315,6,1,7
Del Norte,7/31/20,0,1,1,53,0,0,0
Madera,7/31/20,55,12,67,274,14,0,3
Modoc,7/31/20,0,0,0,41,0,0,0
Napa,7/31/20,13,1,14,359,7,0,15
San Benito,7/31/20,1,0,1,25,1,0,1
Tuolumne,7/31/20,2,0,2,84,0,0,0
Calaveras,7/31/20,0,0,0,33,0,0,7
Riverside,7/31/20,447,94,541,3159,145,18,94
Humboldt,7/31/20,0,4,4,263,0,1,5
Mendocino,7/31/20,8,0,8,150,0,0,0
Imperial,7/31/20,50,0,50,261,20,0,3
Sutter,7/31/20,0,0,0,0,0,0,0
San Diego,7/31/20,315,66,381,6614,109,11,269
Tulare,7/31/20,98,7,105,714,15,0,8
Contra Costa,7/31/20,107,45,152,1448,39,4,50
Yuba,7/31/20,20,1,21,457,7,0,4
El Dorado,7/31/20,2,2,4,235,1,2,14
San Joaquin,7/31/20,221,39,260,922,71,5,14
Orange,7/31/20,546,38,584,6260,169,5,309
Glenn,7/31/20,0,2,2,47,0,0,0
Sonoma,7/31/20,39,14,53,506,16,1,3
San Mateo,7/31/20,55,9,64,705,20,2,14
Plumas,7/31/20,0,0,0,51,0,0,0
Sacramento,7/31/20,265,41,306,2475,90,7,79
Lassen,7/31/20,0,2,2,25,0,0,0
Yolo,7/31/20,6,1,7,96,6,1,5
Lake,7/31/20,0,2,2,66,0,1,2
Amador,7/31/20,5,0,5,51,2,0,2
Butte,7/31/20,25,1,26,451,9,0,2
Inyo,7/31/20,0,0,0,29,0,0,4
Mono,7/31/20,1,0,1,17,1,0,1
San Bernardino,7/31/20,568,82,650,4442,184,8,117
Tehama,7/31/20,0,1,1,59,0,1,5
Kings,7/31/20,72,0,72,199,9,0,1
Nevada,7/31/20,2,3,5,116,1,0,8
Modoc,8/1/20,0,0,0,41,0,0,0
Orange,8/1/20,554,64,618,5764,171,8,306
San Mateo,8/1/20,55,9,64,709,18,2,17
San Joaquin,8/1/20,216,53,269,1019,77,5,17
Calaveras,8/1/20,0,0,0,33,0,0,8
Stanislaus,8/1/20,216,37,253,1223,51,4,30
Merced,8/1/20,52,0,52,253,10,0,9
Santa Clara,8/1/20,183,33,216,3226,57,3,110
Tehama,8/1/20,0,1,1,59,0,1,5
Mono,8/1/20,1,0,1,17,0,0,2
Yolo,8/1/20,8,1,9,96,7,0,3
Sacramento,8/1/20,267,35,302,2466,91,7,86
San Benito,8/1/20,4,0,4,25,1,0,0
Mariposa,8/1/20,0,0,0,19,0,0,0
Sutter,8/1/20,0,0,0,0,0,0,0
Siskiyou,8/1/20,1,2,3,56,1,0,4
Tulare,8/1/20,108,9,117,714,19,0,10
Del Norte,8/1/20,0,0,0,52,0,0,3
Fresno,8/1/20,293,39,332,1505,58,3,12
Madera,8/1/20,54,7,61,274,12,0,3
Napa,8/1/20,10,0,10,359,6,2,16
Humboldt,8/1/20,0,4,4,263,0,1,4
Placer,8/1/20,58,34,92,732,15,4,29
Monterey,8/1/20,43,1,44,757,16,0,18
Plumas,8/1/20,0,0,0,51,0,0,0
Lassen,8/1/20,0,2,2,25,0,0,0
Ventura,8/1/20,83,42,125,1310,23,8,45
Contra Costa,8/1/20,100,48,148,1451,37,6,52
Amador,8/1/20,6,0,6,51,2,0,0
El Dorado,8/1/20,2,2,4,189,2,2,4
Inyo,8/1/20,0,0,0,29,0,0,4
Yuba,8/1/20,20,1,21,457,7,0,4
San Luis Obispo,8/1/20,13,5,18,463,4,0,20
Tuolumne,8/1/20,2,0,2,84,0,0,0
Glenn,8/1/20,0,2,2,47,0,0,0
Kings,8/1/20,72,0,72,199,9,0,1
Marin,8/1/20,28,6,34,319,6,1,9
Lake,8/1/20,1,0,1,66,0,0,2
Solano,8/1/20,48,18,66,576,15,2,9
Los Angeles,8/1/20,1784,557,2341,19238,544,61,908
Santa Barbara,8/1/20,82,5,87,666,23,0,75
Kern,8/1/20,232,17,249,1391,77,3,30
San Bernardino,8/1/20,567,85,652,3802,186,11,164
Colusa,8/1/20,1,2,3,48,0,0,0
Butte,8/1/20,29,2,31,451,11,0,11
Mendocino,8/1/20,8,0,8,150,0,0,0
Sonoma,8/1/20,43,13,56,478,16,1,6
Imperial,8/1/20,47,1,48,261,21,0,3
San Diego,8/1/20,312,72,384,6156,107,18,282
Nevada,8/1/20,1,4,5,116,0,0,8
Santa Cruz,8/1/20,12,9,21,255,3,0,8
Trinity,8/1/20,0,2,2,25,0,0,0
Alameda,8/1/20,198,50,248,2478,56,7,99
Shasta,8/1/20,8,0,8,448,3,0,6
San Francisco,8/1/20,105,14,119,2005,39,1,52
Riverside,8/1/20,435,111,546,3282,139,18,98
Glenn,8/2/20,0,2,2,47,0,0,0
Solano,8/2/20,50,11,61,562,18,0,6
Nevada,8/2/20,0,0,0,29,0,0,4
Yuba,8/2/20,23,0,23,265,6,0,10
Calaveras,8/2/20,0,0,0,50,0,0,8
Madera,8/2/20,48,7,55,274,15,0,3
Merced,8/2/20,52,3,55,253,11,1,8
Humboldt,8/2/20,0,4,4,258,0,1,4
Lake,8/2/20,2,0,2,65,0,0,3
San Benito,8/2/20,3,0,3,25,0,0,0
San Francisco,8/2/20,98,11,109,1992,35,3,51
Sutter,8/2/20,0,0,0,0,0,0,0
Tehama,8/2/20,0,0,0,59,0,0,5
Amador,8/2/20,12,0,12,51,4,0,0
Ventura,8/2/20,82,37,119,1314,18,7,44
Plumas,8/2/20,0,0,0,51,0,0,0
Lassen,8/2/20,0,1,1,25,0,0,0
Kings,8/2/20,73,1,74,199,8,1,3
Del Norte,8/2/20,0,0,0,52,0,0,4
San Mateo,8/2/20,55,12,67,683,19,2,23
Yolo,8/2/20,8,0,8,96,4,0,4
Tulare,8/2/20,101,7,108,714,14,0,3
San Bernardino,8/2/20,575,67,642,3899,193,5,116
Inyo,8/2/20,3,0,3,29,0,0,4
Santa Barbara,8/2/20,88,6,94,666,25,0,48
Butte,8/2/20,27,1,28,451,8,0,10
Imperial,8/2/20,53,0,53,261,21,0,2
Monterey,8/2/20,44,3,47,757,16,0,15
Trinity,8/2/20,0,0,0,25,0,0,0
Stanislaus,8/2/20,205,47,252,1230,49,4,25
Shasta,8/2/20,8,0,8,561,3,0,4
Napa,8/2/20,7,0,7,359,3,0,19
Sonoma,8/2/20,42,17,59,479,14,2,6
Mendocino,8/2/20,12,0,12,150,0,0,9
Mariposa,8/2/20,0,0,0,19,0,0,0
Santa Cruz,8/2/20,12,9,21,276,3,0,12
Marin,8/2/20,26,3,29,320,6,0,8
Kern,8/2/20,321,12,333,1292,72,4,35
Contra Costa,8/2/20,101,39,140,1442,38,7,60
Tuolumne,8/2/20,2,0,2,84,0,0,1
Orange,8/2/20,555,50,605,5723,175,8,316
Modoc,8/2/20,0,0,0,41,0,0,0
Placer,8/2/20,57,39,96,732,11,2,29
San Luis Obispo,8/2/20,13,3,16,452,5,0,21
Alameda,8/2/20,194,42,236,2434,55,9,91
Mono,8/2/20,1,0,1,17,0,0,2
San Joaquin,8/2/20,213,45,258,922,65,1,21
Colusa,8/2/20,1,0,1,48,0,0,0
Siskiyou,8/2/20,1,2,3,25,1,0,0
Sacramento,8/2/20,262,33,295,2319,83,8,91
Fresno,8/2/20,295,33,328,1527,61,6,18
Riverside,8/2/20,425,87,512,3237,133,20,95
Los Angeles,8/2/20,1757,506,2263,19088,545,55,952
San Diego,8/2/20,305,70,375,6123,113,10,304
Santa Clara,8/2/20,185,36,221,3225,57,4,93
El Dorado,8/2/20,2,0,2,189,2,0,5
Yolo,8/3/20,7,0,7,96,6,0,4
Nevada,8/3/20,0,2,2,109,0,1,9
Amador,8/3/20,10,1,11,51,4,0,0
Siskiyou,8/3/20,1,0,1,56,1,0,5
Imperial,8/3/20,56,0,56,261,25,0,2
San Mateo,8/3/20,58,15,73,682,14,3,26
Kern,8/3/20,222,24,246,1392,80,7,43
Sacramento,8/3/20,274,34,308,2452,87,3,90
Riverside,8/3/20,450,93,543,3278,133,19,88
Sutter,8/3/20,0,0,0,0,0,0,0
Inyo,8/3/20,3,0,3,29,0,0,4
Monterey,8/3/20,47,3,50,757,19,0,11
San Benito,8/3/20,3,0,3,25,1,0,2
San Bernardino,8/3/20,561,76,637,3822,188,10,126
Madera,8/3/20,46,14,60,274,13,0,2
Lake,8/3/20,0,0,0,65,0,0,8
Del Norte,8/3/20,0,1,1,52,0,0,3
Humboldt,8/3/20,0,2,2,264,0,0,7
Butte,8/3/20,26,0,26,451,8,0,10
San Diego,8/3/20,294,67,361,6136,103,14,323
San Francisco,8/3/20,89,15,104,1709,34,2,123
San Joaquin,8/3/20,222,31,253,1020,67,5,22
Orange,8/3/20,539,66,605,5814,167,12,306
Tulare,8/3/20,105,5,110,714,17,1,10
Trinity,8/3/20,0,1,1,25,0,0,0
Tuolumne,8/3/20,2,1,3,84,0,0,1
Mendocino,8/3/20,10,0,10,150,0,0,11
El Dorado,8/3/20,3,0,3,189,1,0,12
Yuba,8/3/20,21,0,21,265,5,0,13
Merced,8/3/20,56,2,58,253,14,0,5
Santa Cruz,8/3/20,15,11,26,276,3,3,11
Sonoma,8/3/20,41,17,58,480,13,1,7
Glenn,8/3/20,0,2,2,47,0,0,0
Napa,8/3/20,9,7,16,359,3,0,22
Modoc,8/3/20,0,0,0,41,0,0,0
Mariposa,8/3/20,0,0,0,19,0,0,0
Alameda,8/3/20,193,49,242,2334,55,6,84
Solano,8/3/20,44,12,56,553,17,1,6
Ventura,8/3/20,88,41,129,1306,19,7,45
Mono,8/3/20,0,0,0,17,0,0,2
Placer,8/3/20,62,28,90,733,14,5,28
Kings,8/3/20,71,0,71,199,6,0,4
San Luis Obispo,8/3/20,11,1,12,477,4,0,21
Santa Clara,8/3/20,171,31,202,3201,52,2,110
Stanislaus,8/3/20,215,43,258,1212,48,4,38
Plumas,8/3/20,0,0,0,51,0,0,0
Marin,8/3/20,23,5,28,313,5,1,12
Fresno,8/3/20,297,39,336,1538,59,3,19
Calaveras,8/3/20,0,0,0,33,0,0,8
Los Angeles,8/3/20,1768,541,2309,19242,537,68,915
Contra Costa,8/3/20,99,40,139,1410,42,12,53
Lassen,8/3/20,0,1,1,25,0,0,0
Tehama,8/3/20,0,0,0,59,0,0,5
Santa Barbara,8/3/20,82,7,89,666,25,0,43
Colusa,8/3/20,1,0,1,48,0,0,0
Shasta,8/3/20,7,0,7,434,3,0,8
Imperial,8/4/20,47,0,47,261,20,0,4
Kings,8/4/20,70,0,70,199,9,0,1
Humboldt,8/4/20,0,2,2,267,0,0,7
Glenn,8/4/20,0,2,2,47,0,0,0
Inyo,8/4/20,1,0,1,29,0,0,4
Shasta,8/4/20,5,0,5,437,3,0,3
Yuba,8/4/20,22,0,22,265,5,0,10
Sonoma,8/4/20,42,15,57,485,11,1,10
Kern,8/4/20,212,21,233,1435,66,2,44
Trinity,8/4/20,0,4,4,25,0,0,0
El Dorado,8/4/20,2,1,3,189,0,0,11
San Benito,8/4/20,3,0,3,25,1,0,1
Siskiyou,8/4/20,1,0,1,56,0,0,5
Mono,8/4/20,0,0,0,17,0,0,1
Merced,8/4/20,50,1,51,254,14,0,5
Los Angeles,8/4/20,1741,556,2297,19053,508,57,887
Sacramento,8/4/20,262,48,310,2462,87,6,89
San Diego,8/4/20,311,93,404,6044,111,19,311
Monterey,8/4/20,51,1,52,757,17,1,20
Mariposa,8/4/20,0,0,0,19,0,0,0
Calaveras,8/4/20,1,1,2,33,0,0,8
Tulare,8/4/20,114,4,118,714,15,2,6
Plumas,8/4/20,0,0,0,51,0,0,0
Mendocino,8/4/20,12,0,12,150,0,0,8
San Luis Obispo,8/4/20,12,4,16,477,4,1,23
Modoc,8/4/20,0,0,0,41,0,0,0
Marin,8/4/20,21,5,26,312,5,0,9
Lake,8/4/20,0,1,1,65,0,0,4
San Mateo,8/4/20,54,12,66,692,12,2,27
Ventura,8/4/20,81,29,110,1306,21,6,39
Santa Clara,8/4/20,171,29,200,3230,53,1,104
San Joaquin,8/4/20,214,67,281,1014,54,10,21
Santa Barbara,8/4/20,81,3,84,666,25,0,42
Fresno,8/4/20,295,41,336,1557,55,5,13
Napa,8/4/20,9,1,10,359,3,0,21
Lassen,8/4/20,0,0,0,25,0,0,0
Riverside,8/4/20,411,100,511,3247,134,20,79
Sutter,8/4/20,0,0,0,0,0,0,0
Nevada,8/4/20,1,1,2,91,0,0,12
Del Norte,8/4/20,0,0,0,51,0,0,4
Solano,8/4/20,42,11,53,558,16,2,4
Placer,8/4/20,65,38,103,731,15,4,25
Alameda,8/4/20,196,54,250,2363,53,10,93
Colusa,8/4/20,2,3,5,48,0,0,0
Yolo,8/4/20,5,1,6,96,5,0,8
